,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),,(cfm),(cfm),(cfm)
"F5 1-Bed NW Outer","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 1-Bed North",744.0,1,2.7,2.7,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
"F5 2-Bed Core NE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed Core NE-NW",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed Core NW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed Core NE-NW",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed NE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed East",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed NW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed West",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed SE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed East",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed SE Core","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed East",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed SW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed West",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 2-Bed SW Core","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 2-Bed West",1080.0,1,2.8,2.8,3.0,"Sum","Fixed",7.5,0.03,0,0,55,7.5,0.03,0,55,0,0,55,"UNDEFINED",0,0,0
"F5 3-Bed NE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 3-Bed NE",1410.0,1,2.8,2.8,4.0,"Sum","Fixed",7.5,0.03,0,0,72,7.5,0.03,0,72,0,0,72,"UNDEFINED",0,0,0
"F5 3-Bed NW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 3-Bed NW",1410.0,1,2.8,2.8,4.0,"Sum","Fixed",7.5,0.03,0,0,72,7.5,0.03,0,72,0,0,72,"UNDEFINED",0,0,0
"F5 Corridor","Building Story Residential Floor 5","DirectlyConditioned","Corridor Area","Thermal Zone: F5 Corridor",2145.0,1,10.0,10.0,10.7,"Maximum","Fixed",0,0.15,0,0,322,0,0.15,0,322,0,0.145924,0,"UNDEFINED",0,322,0
